Powder Material,Power (W),Travel Velocity (mm/s),Melt Pool Depth (mm),Melt Pool Width (mm),Melt Pool Length (mm),beamD (mm),Fe (%),Ni (%),Cr (%),Co (%),Al (%),Ti (%),Mo (%),C (%),Mn (%),Si (%),Cu (%),Nb (%),W (%),V (%),Mg (%),Zn (%),Y (%),Nd (%)
TiC/Inconel 718,125.0,100.0,0.068,0.109,0.12,70.0,0,52,19,0,0,0,3.0,0.0,0.0,0,5,0,0,0,0,0,0,21
TiC/Inconel 718,125.0,200.0,0.058,0.091,0.102,70.0,0,52,19,0,0,0,3.0,0.0,0.0,0,5,0,0,0,0,0,0,21
TiC/Inconel 718,125.0,300.0,0.05,0.078,0.09,70.0,0,52,19,0,0,0,3.0,0.0,0.0,0,5,0,0,0,0,0,0,21
AlSi10Mg,208.0,800.0,0.022,0.12,0.115,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,0,0
AlSi10Mg,312.0,1200.0,0.031,0.178,0.25,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,0,0
AlSi10Mg,416.0,1600.0,0.056,0.21,0.65,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,0,0
AlSi10Mg,520.0,2000.0,0.058,0.183,0.9,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,0,0
AlSi10Mg,104.0,200.0,0.03,0.15,0.148,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,0,0
AlSi10Mg,208.0,400.0,0.06,0.2,0.32,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,0,0
AlSi10Mg,312.0,600.0,0.132,0.375,1.0,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,0,0
AlSi10Mg,416.0,800.0,0.14,0.4,1.4,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,0,0
AlSi10Mg,104.0,100.0,0.055,0.182,0.232,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,0,0
AlSi10Mg,208.0,200.0,0.075,0.265,0.34,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,0,0
AlSi10Mg,312.0,300.0,0.375,0.41,2.25,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,0,0
AlSi10Mg,416.0,400.0,0.435,0.52,2.3,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,0,0
AlSi10Mg,520.0,500.0,0.525,0.525,3.05,100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,0,0,0
Ti-6Al-4V,95.0,210.0,0.053,0.137,0.169,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,40.0,210.0,0.022,0.082,0.101,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,67.5,210.0,0.033,0.105,0.133,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,150.0,210.0,0.084,0.181,0.246,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,122.5,210.0,0.066,0.159,0.211,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,95.0,20.0,0.092,0.188,0.221,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,95.0,115.0,0.062,0.149,0.184,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,95.0,400.0,0.037,0.116,0.158,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,95.0,305.0,0.041,0.126,0.161,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,95.0,210.0,0.049,0.135,0.169,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,95.0,210.0,0.051,0.137,0.169,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,95.0,210.0,0.055,0.14,0.174,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,95.0,210.0,0.053,0.138,0.172,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,95.0,210.0,0.052,0.14,0.17,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,95.0,210.0,0.052,0.134,0.17,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,95.0,210.0,0.052,0.135,0.171,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,67.5,115.0,0.037,0.116,0.143,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,81.25,162.5,0.042,0.129,0.162,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,122.5,115.0,0.081,0.184,0.228,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,108.75,162.5,0.064,0.153,0.194,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,67.5,305.0,0.03,0.096,0.122,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,81.25,257.5,0.037,0.116,0.146,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,122.5,305.0,0.058,0.142,0.19,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,108.75,257.5,0.057,0.139,0.189,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,67.5,115.0,0.039,0.122,0.146,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,81.25,162.5,0.043,0.13,0.165,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,122.5,115.0,0.084,0.184,0.228,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,108.75,162.5,0.064,0.158,0.212,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,67.5,305.0,0.031,0.097,0.128,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,81.25,257.5,0.038,0.118,0.152,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,122.5,305.0,0.061,0.151,0.202,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,108.75,257.5,0.058,0.142,0.186,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,67.5,115.0,0.037,0.117,0.142,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,81.25,162.5,0.042,0.132,0.161,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,122.5,115.0,0.081,0.18,0.224,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,108.75,162.5,0.063,0.153,0.196,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,67.5,305.0,0.029,0.097,0.118,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,81.25,257.5,0.036,0.112,0.141,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,122.5,305.0,0.058,0.146,0.19,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,108.75,257.5,0.056,0.14,0.186,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,67.5,115.0,0.039,0.119,0.144,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,81.25,162.5,0.043,0.13,0.164,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,122.5,115.0,0.085,0.182,0.226,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,108.75,162.5,0.064,0.156,0.196,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,67.5,305.0,0.031,0.098,0.122,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,81.25,257.5,0.037,0.119,0.149,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,122.5,305.0,0.06,0.149,0.196,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
Ti-6Al-4V,108.75,257.5,0.057,0.141,0.188,50.0,0,0,0,0,6,90,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0
SS316L,100.0,800.0,0.15,0.075,0.033,50.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS316L,300.0,800.0,0.32,0.083,0.055,50.0,70,12,17,0,0,0,2.0,0.03,1.5,0,0,0,0,0,0,0,0,0
SS17-4PH,100.0,400.0,0.102,0.128,0.23,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,100.0,500.0,0.04,0.107,0.226,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,100.0,600.0,0.036,0.09,0.223,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,100.0,700.0,0.033,0.08,0.219,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,100.0,800.0,0.03,0.075,0.215,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,100.0,900.0,0.026,0.07,0.213,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,100.0,1000.0,0.022,0.068,0.209,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,100.0,1200.0,0.021,0.065,0.205,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,100.0,1400.0,0.02,0.063,0.2,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,150.0,600.0,0.1,0.14,0.3,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,150.0,800.0,0.06,0.11,0.292,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,150.0,1000.0,0.05,0.08,0.285,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,150.0,1200.0,0.043,0.078,0.278,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,150.0,1400.0,0.033,0.077,0.27,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,150.0,1500.0,0.031,0.08,0.265,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,150.0,1600.0,0.026,0.079,0.26,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,150.0,1800.0,0.023,0.081,0.255,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,150.0,2000.0,0.021,0.079,0.25,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,200.0,800.0,0.105,0.125,0.4,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,200.0,1000.0,0.075,0.1,0.39,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,200.0,1200.0,0.063,0.092,0.38,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,200.0,1400.0,0.055,0.09,0.37,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,200.0,1600.0,0.045,0.088,0.36,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,200.0,1800.0,0.041,0.088,0.35,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,200.0,2000.0,0.035,0.086,0.34,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,200.0,2200.0,0.03,0.088,0.325,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,200.0,2400.0,0.028,0.088,0.31,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,300.0,1200.0,0.09,0.11,0.55,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,300.0,1400.0,0.08,0.105,0.542,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,300.0,1600.0,0.073,0.098,0.534,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,300.0,1800.0,0.066,0.095,0.526,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,300.0,2000.0,0.061,0.094,0.52,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,300.0,2200.0,0.047,0.093,0.513,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,300.0,2400.0,0.049,0.092,0.508,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,300.0,2600.0,0.041,0.088,0.5,80.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,900.0,400.0,0.195,0.358,1.22,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,900.0,500.0,0.175,0.34,1.2,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,900.0,600.0,0.13,0.32,1.18,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,900.0,700.0,0.102,0.31,1.16,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,900.0,800.0,0.082,0.305,1.14,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,900.0,900.0,0.08,0.29,1.132,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,900.0,1000.0,0.078,0.28,1.125,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,900.0,1200.0,0.06,0.27,0.112,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,900.0,1400.0,0.055,0.25,1.1,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1350.0,600.0,0.24,0.359,1.73,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1350.0,800.0,0.18,0.342,1.72,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1350.0,1000.0,0.145,0.314,1.71,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1350.0,1200.0,0.12,0.308,1.7,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1350.0,1400.0,0.1,0.305,1.68,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1350.0,1500.0,0.082,0.291,1.66,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1350.0,1600.0,0.095,0.28,1.64,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1350.0,1800.0,0.075,0.27,1.62,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1350.0,2000.0,0.07,0.25,1.6,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1800.0,800.0,0.27,0.37,2.25,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1800.0,1000.0,0.198,0.365,2.238,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1800.0,1200.0,0.163,0.36,2.218,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1800.0,1400.0,0.138,0.35,2.2,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1800.0,1600.0,0.12,0.322,2.16,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1800.0,1800.0,0.11,0.305,2.12,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1800.0,2000.0,0.1,0.306,2.08,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1800.0,2200.0,0.09,0.3,2.04,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,1800.0,2400.0,0.08,0.278,2.0,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,2700.0,1200.0,0.256,0.44,2.68,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,2700.0,1400.0,0.195,0.412,2.683,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,2700.0,1600.0,0.168,0.414,2.686,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,2700.0,1800.0,0.154,0.4,2.69,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,2700.0,2000.0,0.138,0.372,2.693,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,2700.0,2200.0,0.122,0.35,2.696,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,2700.0,2400.0,0.115,0.335,2.698,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
SS17-4PH,2700.0,2600.0,0.1,0.32,2.7,240.0,78,4,17,0,0,0,4.0,0.07,0.0,0,0,0,0,0,0,0,0,0
IN718,180.0,400.0,0.083,0.22,0.4,700.0,0,50,19,0,0,0,3.0,0.0,0.0,0,5,0,0,0,0,0,0,0
IN718,180.0,600.0,0.065,0.205,0.375,700.0,0,50,19,0,0,0,3.0,0.0,0.0,0,5,0,0,0,0,0,0,0
Invar36,300.0,1600.0,0.05743,0.12795,1.6517,70.0,64,36,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Invar36,250.0,1600.0,0.051859999999999996,0.11777,1.3604,70.0,64,36,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Invar36,300.0,2000.0,0.0504,0.11631999999999999,1.6439000000000001,70.0,64,36,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Invar36,200.0,1600.0,0.04556,0.10856,1.1011,70.0,64,36,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Invar36,250.0,2000.0,0.04556,0.10856,1.3696,70.0,64,36,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Invar36,300.0,2600.0,0.04338,0.10468999999999999,1.633,70.0,64,36,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Invar36,200.0,2000.0,0.039740000000000004,0.09839,1.0934000000000001,70.0,64,36,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Invar36,250.0,2600.0,0.038770000000000006,0.09654,1.358,70.0,64,36,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Invar36,200.0,2600.0,0.03344,0.08918000000000001,1.0817999999999999,70.0,64,36,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
